Curs;Codi àrea territorial;Àrea territorial;Codi Comarca;Comarca;Codi municipi;Municipi;Districte;Naturalesa;Titularitat;Sexe;Edat;Suma de Total
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Privat;Ordes i Congregacions Catòlics;Nenes;< 1 any;2
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Privat;Ordes i Congregacions Catòlics;Nenes;1 any;2
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Privat;Ordes i Congregacions Catòlics;Nenes;2 anys o més;6
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Privat;Ordes i Congregacions Catòlics;Nens;1 any;3
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Privat;Ordes i Congregacions Catòlics;Nens;2 anys o més;4
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Públic;Corporacions Locals;Nenes;< 1 any;29
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Públic;Corporacions Locals;Nenes;1 any;86
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Públic;Corporacions Locals;Nenes;2 anys o més;113
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Públic;Corporacions Locals;Nens;< 1 any;31
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Públic;Corporacions Locals;Nens;1 any;113
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;1;Públic;Corporacions Locals;Nens;2 anys o més;157
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Cooperatives;Nenes;< 1 any;6
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Cooperatives;Nenes;1 any;27
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Cooperatives;Nenes;2 anys o més;28
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Cooperatives;Nens;< 1 any;6
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Cooperatives;Nens;1 any;40
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Cooperatives;Nens;2 anys o més;18
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Església Catòlica;Nenes;1 any;8
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Església Catòlica;Nenes;2 anys o més;8
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Església Catòlica;Nens;1 any;12
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Església Catòlica;Nens;2 anys o més;8
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Fundacions;Nenes;< 1 any;3
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Fundacions;Nenes;1 any;14
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Fundacions;Nenes;2 anys o més;28
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Fundacions;Nens;< 1 any;5
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Fundacions;Nens;1 any;14
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Fundacions;Nens;2 anys o més;19
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Ordes i Congregacions Catòlics;Nenes;< 1 any;7
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Ordes i Congregacions Catòlics;Nenes;1 any;16
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Ordes i Congregacions Catòlics;Nenes;2 anys o més;20
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Ordes i Congregacions Catòlics;Nens;< 1 any;8
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Ordes i Congregacions Catòlics;Nens;1 any;19
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Ordes i Congregacions Catòlics;Nens;2 anys o més;23
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Persones Físiques;Nenes;< 1 any;28
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Persones Físiques;Nenes;1 any;106
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Persones Físiques;Nenes;2 anys o més;126
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Persones Físiques;Nens;< 1 any;42
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Persones Físiques;Nens;1 any;95
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Persones Físiques;Nens;2 anys o més;140
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Societats Civils;Nenes;< 1 any;3
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Societats Civils;Nenes;1 any;15
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Societats Civils;Nenes;2 anys o més;24
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Societats Civils;Nens;1 any;16
2021-2022;108;Consorci d'Educació de Barcelo;13;Barcelonès;8019;Barcelona;2;Privat;Societats Civils;Nens;2 anys o més;51
