"Curs";"Codi àrea territorial";"Àrea territorial";"Codi Comarca";"Comarca";"Codi municipi";"Municipi";"Districte";"Naturalesa";"Titularitat";"Sexe";"Edat";"Total"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Privat";"Ordes i Congregacions Catòlics";"Nens";"< 1 any";"1"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Privat";"Ordes i Congregacions Catòlics";"Nenes";"< 1 any";"3"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Privat";"Ordes i Congregacions Catòlics";"Nenes";"1 any";"3"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Privat";"Ordes i Congregacions Catòlics";"Nens";"2 anys o més";"5"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Privat";"Ordes i Congregacions Catòlics";"Nenes";"2 anys o més";"8"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Públic";"Corporacions Locals";"Nens";"< 1 any";"29"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Públic";"Corporacions Locals";"Nenes";"< 1 any";"31"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Públic";"Corporacions Locals";"Nens";"1 any";"105"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Públic";"Corporacions Locals";"Nenes";"1 any";"95"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Públic";"Corporacions Locals";"Nens";"2 anys o més";"147"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"01";"Públic";"Corporacions Locals";"Nenes";"2 anys o més";"128"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Associacions";"Nens";"< 1 any";"4"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Associacions";"Nenes";"< 1 any";"4"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Associacions";"Nens";"1 any";"6"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Associacions";"Nenes";"1 any";"7"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Associacions";"Nens";"2 anys o més";"13"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Associacions";"Nenes";"2 anys o més";"23"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Cooperatives";"Nens";"< 1 any";"4"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Cooperatives";"Nenes";"< 1 any";"4"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Cooperatives";"Nens";"1 any";"31"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Cooperatives";"Nenes";"1 any";"25"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Cooperatives";"Nens";"2 anys o més";"39"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Cooperatives";"Nenes";"2 anys o més";"32"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Església Catòlica";"Nens";"< 1 any";"3"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Església Catòlica";"Nenes";"< 1 any";"3"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Església Catòlica";"Nens";"1 any";"9"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Església Catòlica";"Nenes";"1 any";"7"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Església Catòlica";"Nens";"2 anys o més";"15"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Església Catòlica";"Nenes";"2 anys o més";"13"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Fundacions";"Nens";"< 1 any";"4"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Fundacions";"Nenes";"< 1 any";"3"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Fundacions";"Nens";"1 any";"20"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Fundacions";"Nenes";"1 any";"20"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Fundacions";"Nens";"2 anys o més";"18"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Fundacions";"Nenes";"2 anys o més";"27"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Ordes i Congregacions Catòlics";"Nens";"< 1 any";"7"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Ordes i Congregacions Catòlics";"Nenes";"< 1 any";"8"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Ordes i Congregacions Catòlics";"Nens";"1 any";"24"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Ordes i Congregacions Catòlics";"Nenes";"1 any";"19"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Ordes i Congregacions Catòlics";"Nens";"2 anys o més";"22"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Ordes i Congregacions Catòlics";"Nenes";"2 anys o més";"23"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Persones Físiques";"Nens";"< 1 any";"33"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Persones Físiques";"Nenes";"< 1 any";"25"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Persones Físiques";"Nens";"1 any";"102"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Persones Físiques";"Nenes";"1 any";"87"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Persones Físiques";"Nens";"2 anys o més";"97"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Persones Físiques";"Nenes";"2 anys o més";"99"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Civils";"Nens";"1 any";"22"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Civils";"Nenes";"1 any";"15"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Civils";"Nens";"2 anys o més";"15"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Civils";"Nenes";"2 anys o més";"23"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Mercantils";"Nens";"< 1 any";"41"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Mercantils";"Nenes";"< 1 any";"36"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Mercantils";"Nens";"1 any";"120"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Mercantils";"Nenes";"1 any";"106"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Mercantils";"Nens";"2 anys o més";"162"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Privat";"Societats Mercantils";"Nenes";"2 anys o més";"130"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Públic";"Corporacions Locals";"Nens";"< 1 any";"45"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Públic";"Corporacions Locals";"Nenes";"< 1 any";"48"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Públic";"Corporacions Locals";"Nens";"1 any";"219"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Públic";"Corporacions Locals";"Nenes";"1 any";"178"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Públic";"Corporacions Locals";"Nens";"2 anys o més";"308"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"02";"Públic";"Corporacions Locals";"Nenes";"2 anys o més";"236"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"03";"Privat";"Associacions";"Nens";"< 1 any";"4"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"03";"Privat";"Associacions";"Nenes";"< 1 any";"4"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"03";"Privat";"Associacions";"Nens";"1 any";"10"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"03";"Privat";"Associacions";"Nenes";"1 any";"16"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"03";"Privat";"Associacions";"Nens";"2 anys o més";"25"
"2022-2023";"0108";"Consorci d'Educació de Barcelona";"13";"Barcelonès";"08019";"Barcelona";"03";"Privat";"Associacions";"Nenes";"2 anys o més";"15"
