Curs;Estudis;Codi àrea territorial;Àrea territorial;Codi comarca;Comarca;Codi municipi;Municipi;Codi districte;Districte;Naturalesa;Titularitat;Nivell;Matrícula concertada;Sexe;Edat;Zona nacionalitat (agrupació);Necessitats específiques de suport educatiu;Alumnes matriculats
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;DONA;3;CENTRE I SUDAMÈRICA;NO;1
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;DONA;3;ESPANYA;NO;4
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;DONA;3;ESPANYA;SI;5
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;DONA;3;MAGREB;SI;4
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;DONA;3;RESTA D'ÀFRICA;SI;1
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;DONA;3;RESTA UNIÓ EUROPEA;NO;1
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;DONA;3;ÀSIA I OCEANIA;NO;5
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;DONA;3;ÀSIA I OCEANIA;SI;5
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;HOME;3;CENTRE I SUDAMÈRICA;NO;1
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;HOME;3;ESPANYA;NO;8
2023/2024;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I3;SI;HOME;3;ESPANYA;SI;5
