Curs;Estudis;Codi àrea territorial;Àrea territorial;Codi comarca;Comarca;Codi municipi;Municipi;Codi districte;Districte;Naturalesa;Titularitat;Nivell;Sexe;Edat;Zona nacionalitat (agrupació);Necessitats específiques de suport educatiu;Alumnes matriculats
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I1;DONA;1;CENTRE I SUDAMÈRICA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I1;DONA;1;ESPANYA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I1;DONA;1;ÀSIA I OCEANIA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I1;DONA;2;ÀSIA I OCEANIA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I1;HOME;1;MAGREB;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I2;DONA;2;ESPANYA;NO;3
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I2;HOME;2;ESPANYA;NO;3
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I2;HOME;2;RESTA UNIÓ EUROPEA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PRIVAT;FUNDACIONS;I2;HOME;2;ÀSIA I OCEANIA;NO;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;DONA;0;CENTRE I SUDAMÈRICA;NO;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;DONA;0;ESPANYA;NO;14
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;DONA;0;MAGREB;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;DONA;0;RESTA UNIÓ EUROPEA;NO;5
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;DONA;0;ÀSIA I OCEANIA;NO;3
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;HOME;0;CENTRE I SUDAMÈRICA;NO;3
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;HOME;0;ESPANYA;NO;23
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;HOME;0;ESPANYA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;HOME;0;RESTA D'EUROPA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;HOME;0;RESTA UNIÓ EUROPEA;NO;4
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I0;HOME;0;ÀSIA I OCEANIA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;1;CENTRE I SUDAMÈRICA;NO;6
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;1;CENTRE I SUDAMÈRICA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;1;ESPANYA;NO;53
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;1;ESPANYA;SI;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;1;MAGREB;NO;3
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;1;RESTA D'EUROPA;NO;3
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;1;RESTA D'ÀFRICA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;1;RESTA UNIÓ EUROPEA;NO;14
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;1;ÀSIA I OCEANIA;NO;7
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;2;CENTRE I SUDAMÈRICA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;DONA;2;ESPANYA;SI;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;CENTRE I SUDAMÈRICA;NO;4
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;CENTRE I SUDAMÈRICA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;ESPANYA;NO;62
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;ESPANYA;SI;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;MAGREB;NO;4
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;RESTA D'EUROPA;NO;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;RESTA D'ÀFRICA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;RESTA UNIÓ EUROPEA;NO;12
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;ÀSIA I OCEANIA;NO;18
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;1;ÀSIA I OCEANIA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I1;HOME;2;ESPANYA;NO;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;DONA;2;AMÈRICA DEL NORD;NO;2
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;DONA;2;CENTRE I SUDAMÈRICA;NO;10
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;DONA;2;CENTRE I SUDAMÈRICA;SI;1
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;DONA;2;ESPANYA;NO;67
2024/2025;EDUCACIÓ INFANTIL;0108;CONSORCI D'EDUCACIÓ DE BARCELONA;13;BARCELONÈS;08019;BARCELONA;0801901;CIUTAT VELLA;PÚBLIC;CORPORACIONS LOCALS;I2;DONA;2;MAGREB;NO;8
